PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Expected_Spend,Total_Spend,Savings_per_Order,Defect_Rate,Lead_time
PO-00050,Alpha_Inc,2023-04-16,,mro,Pending,736,16.2,15.33,18.0,Yes,11923.199999999999,11282.88,640.3199999999997,2.4456521739130435,
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,electronics,Delivered,1007,22.56,19.59,0.0,Yes,22717.92,19727.13,2990.7899999999972,0.0,10.0
PO-00052,Delta_Logistics,2022-05-08,,office supplies,Delivered,612,20.99,19.75,102.0,Yes,12845.88,12087.0,758.8799999999992,16.666666666666664,
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,mro,Pending,1949,72.53,63.26,48.0,No,141360.97,123293.73999999999,18067.23000000001,2.4628014366341713,10.0
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,office supplies,Cancelled,1640,77.92,76.41,262.0,No,127788.8,125312.4,2476.4000000000087,15.975609756097562,6.0
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,electronics,Delivered,1317,68.13,60.52,136.0,Yes,89727.20999999999,79704.84000000001,10022.36999999998,10.32649962034928,18.0
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,raw materials,Delivered,881,100.94,95.05,30.0,Yes,88928.14,83739.05,5189.0899999999965,3.40522133938706,2.0
PO-00057,Delta_Logistics,2023-10-06,,packaging,Delivered,1578,48.33,42.77,206.0,Yes,76264.73999999999,67491.06,8773.679999999993,13.054499366286437,
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,mro,Delivered,1204,39.29,35.44,0.0,Yes,47305.159999999996,42669.759999999995,4635.4000000000015,0.0,5.0
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,mro,Pending,1558,93.46,91.27,39.0,Yes,145610.68,142198.66,3412.0199999999895,2.503209242618742,16.0
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,packaging,Delivered,1892,32.99,28.81,35.0,Yes,62417.08,54508.52,7908.560000000005,1.849894291754757,1.0
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,packaging,Delivered,696,99.59,90.18,25.0,Yes,69314.64,62765.280000000006,6549.359999999993,3.5919540229885056,16.0
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,mro,Partially delivered,70,12.37,11.04,10.0,Yes,865.9,772.8,93.10000000000002,14.285714285714285,11.0
PO-00063,Gamma_Co,2022-03-13,2022-03-15,raw materials,Delivered,890,98.26,93.14,49.0,Yes,87451.40000000001,82894.6,4556.800000000003,5.50561797752809,2.0
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,mro,Delivered,216,13.95,12.31,5.0,Yes,3013.2,2658.96,354.2399999999998,2.314814814814815,16.0
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,packaging,Delivered,1347,100.13,94.3,200.0,Yes,134875.11,127022.09999999999,7853.009999999995,14.847809948032664,3.0
PO-00066,Gamma_Co,2022-08-22,2022-08-25,office supplies,Partially delivered,437,59.51,56.45,25.0,No,26005.87,24668.65,1337.2199999999975,5.720823798627003,3.0
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,electronics,Delivered,650,103.84,88.28,12.0,Yes,67496.0,57382.0,10114.0,1.8461538461538463,2.0
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,office supplies,Delivered,365,16.81,15.41,38.0,Yes,6135.65,5624.65,511.0,10.41095890410959,19.0
PO-00069,Epsilon_Group,2022-08-27,,raw materials,Cancelled,63,61.94,53.8,0.0,Yes,3902.22,3389.3999999999996,512.8200000000002,0.0,
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,mro,Delivered,291,98.7,87.02,9.0,Yes,28721.7,25322.82,3398.880000000001,3.0927835051546393,8.0
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,mro,Cancelled,826,60.5,57.18,18.0,Yes,49973.0,47230.68,2742.3199999999997,2.1791767554479415,14.0
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,electronics,Pending,1419,69.64,59.28,194.0,Yes,98819.16,84118.32,14700.839999999997,13.671599718111347,20.0
PO-00073,Gamma_Co,2023-04-10,2023-04-27,office supplies,Delivered,614,78.06,73.95,40.0,Yes,47928.840000000004,45405.3,2523.540000000001,6.514657980456026,17.0
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,electronics,Delivered,947,56.25,54.25,19.0,Yes,53268.75,51374.75,1894.0,2.0063357972544877,15.0
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,raw materials,Delivered,1413,70.47,69.65,0.0,Yes,99574.11,98415.45000000001,1158.659999999989,0.0,19.0
PO-00076,Alpha_Inc,2022-06-16,,office supplies,Partially delivered,141,64.15,58.32,0.0,Yes,9045.150000000001,8223.12,822.0300000000007,0.0,
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,office supplies,Delivered,1440,96.57,83.87,36.0,Yes,139060.8,120772.8,18287.999999999985,2.5,20.0
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,raw materials,Delivered,1005,14.87,12.79,0.0,No,14944.349999999999,12853.949999999999,2090.3999999999996,0.0,4.0
PO-00079,Alpha_Inc,2022-08-03,,mro,Delivered,1528,36.52,33.0,31.0,No,55802.560000000005,50424.0,5378.560000000005,2.0287958115183247,
PO-00080,Gamma_Co,2023-11-18,2023-11-25,mro,Delivered,1501,106.05,100.99,77.0,No,159181.05,151585.99,7595.059999999998,5.129913391072619,7.0
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,packaging,Delivered,558,94.18,81.4,0.0,No,52552.44,45421.200000000004,7131.239999999998,0.0,3.0
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,mro,Delivered,825,56.88,50.84,0.0,Yes,46926.0,41943.0,4983.0,0.0,6.0
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,electronics,Cancelled,84,73.38,71.42,9.0,Yes,6163.92,5999.28,164.64000000000033,10.714285714285714,6.0
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,raw materials,Delivered,255,38.64,33.59,27.0,No,9853.2,8565.45,1287.75,10.588235294117647,15.0
PO-00085,Gamma_Co,2022-03-15,2022-03-31,mro,Delivered,1154,27.2,26.07,58.0,Yes,31388.8,30084.78,1304.0200000000004,5.025996533795494,16.0
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,office supplies,Delivered,1635,56.91,54.37,262.0,No,93047.84999999999,88894.95,4152.899999999994,16.02446483180428,8.0
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,raw materials,Delivered,1945,46.19,40.12,278.0,No,89839.54999999999,78033.4,11806.149999999994,14.29305912596401,10.0
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,mro,Partially delivered,1461,64.09,63.39,228.0,No,93635.49,92612.79,1022.7000000000116,15.605749486652979,15.0
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,electronics,Delivered,1075,18.53,16.12,147.0,Yes,19919.75,17329.0,2590.75,13.674418604651162,8.0
PO-00090,Alpha_Inc,2022-09-08,,packaging,Delivered,1071,101.6,93.91,25.0,Yes,108813.59999999999,100577.61,8235.98999999999,2.3342670401493932,
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,packaging,Pending,1463,101.23,86.17,43.0,Yes,148099.49000000002,126066.71,22032.780000000013,2.939166097060834,19.0
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,raw materials,Delivered,615,78.3,73.68,69.0,Yes,48154.5,45313.200000000004,2841.2999999999956,11.219512195121952,7.0
PO-00093,Gamma_Co,2023-01-24,2023-02-11,electronics,Delivered,1179,61.74,56.28,0.0,Yes,72791.46,66354.12,6437.340000000011,0.0,18.0
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,electronics,Partially delivered,1845,39.56,37.63,45.0,Yes,72988.2,69427.35,3560.8499999999913,2.4390243902439024,5.0
PO-00095,Beta_Supplies,2023-10-18,,electronics,Cancelled,1895,91.98,86.27,170.0,Yes,174302.1,163481.65,10820.450000000012,8.970976253298153,
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,mro,Partially delivered,1550,79.86,69.57,32.0,No,123783.0,107833.49999999999,15949.500000000015,2.064516129032258,3.0
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,packaging,Delivered,752,26.85,24.37,0.0,No,20191.2,18326.24,1864.9599999999991,0.0,10.0
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,electronics,Delivered,451,95.2,90.07,21.0,Yes,42935.200000000004,40621.57,2313.6300000000047,4.656319290465632,19.0
PO-00099,Beta_Supplies,2023-12-03,,office supplies,Delivered,779,93.69,90.92,66.0,Yes,72984.51,70826.68000000001,2157.829999999987,8.472400513478819,
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,mro,Pending,1629,100.26,86.44,187.0,No,163323.54,140810.76,22512.78,11.479435236341313,15.0
PO-00102,Alpha_Inc,2022-08-23,,office supplies,Delivered,251,67.49,64.48,2.0,Yes,16939.989999999998,16184.480000000001,755.5099999999966,0.796812749003984,
PO-00103,Gamma_Co,2022-02-02,2022-02-18,raw materials,Delivered,1045,47.88,44.65,69.0,Yes,50034.600000000006,46659.25,3375.350000000006,6.6028708133971294,16.0
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,mro,Delivered,319,98.64,89.15,57.0,Yes,31466.16,28438.850000000002,3027.3099999999977,17.86833855799373,20.0
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,office supplies,Partially delivered,1936,93.66,92.24,58.0,Yes,181325.75999999998,178576.63999999998,2749.1199999999953,2.9958677685950414,14.0
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,mro,Cancelled,865,14.7,13.14,135.0,No,12715.5,11366.1,1349.3999999999996,15.606936416184972,20.0
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,electronics,Delivered,1344,12.5,10.87,44.0,Yes,16800.0,14609.279999999999,2190.720000000001,3.273809523809524,3.0
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,raw materials,Pending,505,45.42,40.37,62.0,Yes,22937.100000000002,20386.85,2550.2500000000036,12.277227722772277,19.0
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,packaging,Delivered,1535,90.83,78.28,151.0,No,139424.05,120159.8,19264.249999999985,9.8371335504886,1.0
PO-00110,Beta_Supplies,2022-11-19,,office supplies,Delivered,1800,103.8,96.27,166.0,Yes,186840.0,173286.0,13554.0,9.222222222222221,
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,raw materials,Pending,1325,24.36,22.75,206.0,Yes,32277.0,30143.75,2133.25,15.547169811320755,9.0
PO-00112,Gamma_Co,2023-11-03,2023-11-09,raw materials,Delivered,1066,70.45,65.88,56.0,No,75099.7,70228.08,4871.619999999995,5.253283302063791,6.0
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,raw materials,Delivered,1775,47.82,45.86,180.0,Yes,84880.5,81401.5,3479.0,10.140845070422536,15.0
PO-00114,Gamma_Co,2023-02-10,,raw materials,Partially delivered,345,103.62,98.09,25.0,No,35748.9,33841.05,1907.8499999999985,7.246376811594203,
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,electronics,Delivered,1798,94.8,91.83,0.0,Yes,170450.4,165110.34,5340.059999999998,0.0,19.0
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,mro,Delivered,769,91.86,86.55,17.0,Yes,70640.34,66556.95,4083.3899999999994,2.2106631989596877,16.0
PO-00117,Alpha_Inc,2022-05-27,,packaging,Delivered,1822,53.23,47.49,39.0,Yes,96985.06,86526.78,10458.279999999999,2.140504939626784,
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,packaging,Delivered,387,49.23,45.41,61.0,Yes,19052.01,17573.67,1478.3400000000001,15.762273901808785,14.0
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,mro,Delivered,928,35.3,32.52,26.0,Yes,32758.399999999998,30178.56,2579.8399999999965,2.8017241379310347,4.0
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,packaging,Partially delivered,1126,15.68,14.97,27.0,Yes,17655.68,16856.22,799.4599999999991,2.3978685612788633,11.0
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,raw materials,Cancelled,841,95.73,85.33,81.0,Yes,80508.93000000001,71762.53,8746.400000000009,9.63139120095125,16.0
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,electronics,Delivered,1995,90.65,77.75,206.0,Yes,180846.75,155111.25,25735.5,10.325814536340852,13.0
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,raw materials,Delivered,266,103.97,101.44,6.0,Yes,27656.02,26983.04,672.9799999999996,2.2556390977443606,18.0
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,raw materials,Cancelled,813,109.17,107.39,14.0,Yes,88755.21,87308.07,1447.1399999999994,1.7220172201722017,3.0
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,electronics,Delivered,237,64.19,59.01,7.0,Yes,15213.029999999999,13985.369999999999,1227.6599999999999,2.9535864978902953,11.0
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,office supplies,Cancelled,429,86.73,75.09,9.0,Yes,37207.17,32213.61,4993.559999999998,2.097902097902098,13.0
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,packaging,Delivered,542,101.21,93.11,78.0,No,54855.82,50465.62,4390.199999999997,14.391143911439114,1.0
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,electronics,Delivered,1114,91.66,85.53,35.0,Yes,102109.23999999999,95280.42,6828.819999999992,3.141831238779174,18.0
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,mro,Delivered,1230,33.39,30.85,26.0,Yes,41069.7,37945.5,3124.199999999997,2.113821138211382,2.0
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,mro,Delivered,64,51.56,50.88,5.0,Yes,3299.84,3256.32,43.51999999999998,7.8125,12.0
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,mro,Delivered,1886,23.46,23.18,0.0,Yes,44245.560000000005,43717.479999999996,528.080000000009,0.0,16.0
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,office supplies,Delivered,114,103.53,101.54,14.0,Yes,11802.42,11575.560000000001,226.85999999999876,12.280701754385964,2.0
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,electronics,Cancelled,1930,65.52,56.9,282.0,Yes,126453.59999999999,109817.0,16636.59999999999,14.61139896373057,18.0
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,office supplies,Pending,1912,30.73,29.82,191.0,Yes,58755.76,57015.840000000004,1739.9199999999983,9.989539748953975,10.0
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,mro,Delivered,570,71.51,66.47,0.0,Yes,40760.700000000004,37887.9,2872.800000000003,0.0,16.0
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,raw materials,Delivered,1417,67.27,60.62,0.0,Yes,95321.59,85898.54,9423.050000000003,0.0,20.0
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,raw materials,Delivered,1202,46.67,44.13,21.0,No,56097.340000000004,53044.26,3053.0800000000017,1.747088186356073,6.0
PO-00138,Beta_Supplies,2022-06-13,2022-06-14,office supplies,Delivered,697,20.73,19.83,78.0,No,14448.81,13821.509999999998,627.3000000000011,11.190817790530847,1.0
PO-00139,Epsilon_Group,2023-11-28,2023-12-01,mro,Delivered,1545,78.19,76.91,42.0,Yes,120803.55,118825.95,1977.6000000000058,2.7184466019417477,3.0
PO-00140,Gamma_Co,2023-03-09,2023-03-13,mro,Partially delivered,1136,60.81,58.25,62.0,Yes,69080.16,66172.0,2908.1600000000035,5.457746478873239,4.0
PO-00141,Beta_Supplies,2023-09-03,2023-09-07,mro,Delivered,1212,87.46,74.55,118.0,No,106001.51999999999,90354.59999999999,15646.919999999998,9.735973597359736,4.0
PO-00142,Epsilon_Group,2022-03-07,2022-03-12,mro,Delivered,1572,57.38,49.32,40.0,Yes,90201.36,77531.04,12670.320000000007,2.5445292620865136,5.0
PO-00143,Gamma_Co,2023-01-30,2023-02-09,electronics,Delivered,642,91.9,81.49,26.0,Yes,58999.8,52316.579999999994,6683.220000000008,4.049844236760125,10.0
PO-00144,Epsilon_Group,2023-01-26,2023-02-04,office supplies,Delivered,441,63.25,54.12,16.0,Yes,27893.25,23866.92,4026.3300000000017,3.6281179138321997,9.0
PO-00145,Epsilon_Group,2023-09-03,2023-09-19,office supplies,Delivered,1748,66.53,57.11,0.0,Yes,116294.44,99828.28,16466.160000000003,0.0,16.0
PO-00146,Gamma_Co,2023-04-25,,electronics,Pending,468,95.57,91.8,24.0,Yes,44726.759999999995,42962.4,1764.3599999999933,5.128205128205128,
PO-00147,Beta_Supplies,2023-06-26,2023-07-14,raw materials,Delivered,338,50.25,46.28,49.0,No,16984.5,15642.640000000001,1341.8599999999988,14.497041420118343,18.0
PO-00148,Gamma_Co,2022-09-15,2022-09-22,office supplies,Delivered,428,22.94,21.52,26.0,Yes,9818.32,9210.56,607.7600000000002,6.074766355140187,7.0
PO-00149,Beta_Supplies,2023-07-21,,packaging,Delivered,1846,13.72,12.62,216.0,Yes,25327.120000000003,23296.519999999997,2030.6000000000058,11.700975081256772,
PO-00150,Epsilon_Group,2022-01-12,2022-01-17,office supplies,Delivered,1563,77.96,70.8,41.0,Yes,121851.48,110660.4,11191.080000000002,2.6231605886116443,5.0
PO-00151,Beta_Supplies,2023-11-28,2023-12-07,office supplies,Delivered,280,73.07,69.29,30.0,Yes,20459.6,19401.2,1058.3999999999978,10.714285714285714,9.0
PO-00152,Delta_Logistics,2022-04-28,2022-05-12,raw materials,Delivered,1067,74.47,64.16,0.0,No,79459.49,68458.72,11000.770000000004,0.0,14.0
PO-00153,Gamma_Co,2023-11-30,2023-12-17,electronics,Pending,90,32.38,29.96,7.0,Yes,2914.2000000000003,2696.4,217.80000000000018,7.777777777777778,17.0
PO-00154,Gamma_Co,2023-07-04,2023-07-05,raw materials,Delivered,1101,24.28,22.73,59.0,No,26732.280000000002,25025.73,1706.550000000003,5.358764759309718,1.0
PO-00155,Alpha_Inc,2022-10-01,2022-10-11,raw materials,Delivered,184,11.82,10.51,4.0,Yes,2174.88,1933.84,241.0400000000002,2.1739130434782608,10.0
PO-00156,Epsilon_Group,2023-10-19,2023-11-07,electronics,Delivered,250,45.92,41.02,3.0,Yes,11480.0,10255.0,1225.0,1.2,19.0
PO-00157,Epsilon_Group,2022-12-15,,packaging,Cancelled,1913,66.56,61.34,61.0,Yes,127329.28,117343.42000000001,9985.859999999986,3.1887088342916883,
PO-00158,Beta_Supplies,2022-04-25,2022-04-30,electronics,Delivered,829,45.98,40.39,0.0,Yes,38117.42,33483.31,4634.110000000001,0.0,5.0
PO-00159,Delta_Logistics,2022-10-28,2022-11-13,raw materials,Delivered,979,51.59,49.69,148.0,Yes,50506.61,48646.509999999995,1860.1000000000058,15.117466802860061,16.0
PO-00160,Epsilon_Group,2023-03-22,2023-04-09,electronics,Partially delivered,1106,97.77,90.45,31.0,Yes,108133.62,100037.7,8095.919999999998,2.802893309222423,18.0
PO-00161,Delta_Logistics,2022-06-11,2022-06-24,office supplies,Pending,1121,42.38,38.34,152.0,Yes,47507.98,42979.14000000001,4528.8399999999965,13.559322033898304,13.0
